"ENT","CON","N_REN","PAREN","SEXO","EDAD","NIV","GRA","P3_5","P3_6","P3_7","P3_8","P3_9_1","P3_9_2","P3_9_3","P3_9_4","P3_9_5","P3_9_6","P3_9_7","P3_9_8","P3_9_9","P3_10","P3_11","P3_12_1","P3_12_2","P3_12_3","P3_12_4","P3_12_5","P3_12_6","P3_12_7","P3_12_8","P3_12A","P3_13","P3_14","P3_15","P3_16","P3_17_1","P3_17_2","P3_17_3","P3_17_4","P3_17_5","P3_17_6","P3_17_7","P3_17_8","P3_18","P3_19_1","P3_19_2","P3_19_3","P3_19_4","P3_19_5","P3_19_6","P3_19_7","P3_19_8","P3_20","P3_21_1","P3_21_2","P3_21_3","P3_21_4","P3_21_5","P3_21_6","P3_21_7","P3_21A","P3_21B","P3_22","P3_23","P3_24","P3_25_1","P3_25_2","P3_25_3","P3_25_4","P3_25_5","P3_26","FACTOR"
"18","18E17559","02","4","2","12","2","06","1","1","1","","","","","","","","","","","","1","0","1","0","1","0","0","0","0","2","1","1","1","","","","","","","","","","","","","","","","","","","1","0","1","0","1","1","0","0","2","1","07","1","3","0","0","0","0","1","3",1118
"18","18E17563","01","5","1","10","2","04","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","1","05","1","3","0","1","0","0","0","1",1469
"18","18E17563","02","8","2","19","5","03","2","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","2","1","08","2","","0","0","1","0","0","1",1469
"18","18E17571","01","1","1","03","0","00","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","4",2392
"18","18E17613","02","8","2","19","5","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","02","","","","","","","","","","","","","","","","","","","","","","","","","","","5",1536
"18","18E17613","03","6","1","20","5","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","07","","","","","","","","","","","","","","","","","","","","","","","","","","","5",1536
"18","18E17618","01","1","1","20","7","01","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","04","","","","","","","","","","","","","","","","","","","","","","","","","","","5",1227
"18","18E17626","01","6","1","03","0","00","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","4",2195
"18","18E17626","02","1","2","24","5","01","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","08","","","","","","","","","","","","","","","","","","","","","","","","","","","5",2195
"18","18E17659","01","1","1","18","0","00","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","04","","","","","","","","","","","","","","","","","","","","","","","","","","","5",3778
"18","18E17661","01","1","1","22","7","04","1","1","1","","","","","","","","","","","","2","1","0","0","1","0","0","0","0","1","2","1","1","","","","","","","","","","","","","","","","","","","2","0","0","0","0","0","1","0","6","9","01","2","","0","1","1","0","0","1",1542
"18","18E17693","01","5","1","15","3","03","1","1","1","","","","","","","","","","","","1","0","0","0","1","1","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","1","0","1","1","0","0","0","3","2","06","1","3","0","1","1","0","0","1",1026
"18","18E17693","02","8","2","20","7","01","1","1","1","","","","","","","","","","","","1","1","1","0","1","1","0","0","0","2","2","1","1","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","0","0","2","2","07","2","","0","1","1","0","0","1",1026
